Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,08/09,EFL CUP,THIRD ROUND,2008-09-23,H,MANCHESTER UNITED,MIDDLESBROUGH FC,3:01,OTHER,25,1:00,HEADER,RYAN GIGGS
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,6,2008-09-27,H,MANCHESTER UNITED,BOLTON WANDERERS,2:00,RW,59,1:00,PENALTY,OTHER
LIONEL MESSI,08/09,LALIGA,5,2008-09-27,A,FC BARCELONA,RCD ESPANYOL BARCELONA,1:02,RW,90,1:02,PENALTY,OTHER
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2008-10-01,A,FC BARCELONA,SHAKHTAR DONETSK,1:02,RW,90+2,1:02,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2008-10-01,A,FC BARCELONA,SHAKHTAR DONETSK,1:02,RW,87,1:01,RIGHT-FOOTED SHOT,BOJAN KRKIC
LIONEL MESSI,08/09,LALIGA,6,2008-10-04,H,FC BARCELONA,ATLETICO DE MADRID,6:01,RW,8,3:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,8,2008-10-18,H,MANCHESTER UNITED,WEST BROMWICH ALBION,4:00,RW,69,2:00,LEFT-FOOTED SHOT,WAYNE ROONEY
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2008-10-22,A,FC BARCELONA,FC BASEL 1893,0:05,CF,4,0:01,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,10,2008-10-29,H,MANCHESTER UNITED,WEST HAM UNITED,2:00,RW,30,2:00,RIGHT-FOOTED SHOT,DIMITAR BERBATOV
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,10,2008-10-29,H,MANCHESTER UNITED,WEST HAM UNITED,2:00,RW,14,1:00,LEFT-FOOTED SHOT,NANI
LIONEL MESSI,08/09,LALIGA,9,2008-11-01,A,FC BARCELONA,MALAGA CF,1:04,RW,19,1:02,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,11,2008-11-01,H,MANCHESTER UNITED,HULL CITY,4:03,RW,43,3:01,HEADER,NANI
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,11,2008-11-01,H,MANCHESTER UNITED,HULL CITY,4:03,RW,3,1:00,LEFT-FOOTED SHOT,DIMITAR BERBATOV
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2008-11-04,H,FC BARCELONA,FC BASEL 1893,1:01,RW,61,1:00,LEFT-FOOTED SHOT,THIERRY HENRY
LIONEL MESSI,08/09,COPA DEL REY,FIFTH ROUND,2008-11-12,H,FC BARCELONA,BENIDORM CD,1:00,RW,86,1:00,PENALTY REBOUND,OTHER
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,13,2008-11-15,H,MANCHESTER UNITED,STOKE CITY,5:00,RW,88,5:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,13,2008-11-15,H,MANCHESTER UNITED,STOKE CITY,5:00,RW,3,1:00,DIRECT FREE KICK,OTHER
LIONEL MESSI,08/09,LALIGA,11,2008-11-16,A,FC BARCELONA,RECREATIVO HUELVA,0:02,RW,51,0:01,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2008-11-26,A,FC BARCELONA,SPORTING CP,2:05,RW,49,0:03,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,08/09,LALIGA,13,2008-11-29,A,FC BARCELONA,SEVILLA FC,0:03,RW,78,0:02,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,08/09,LALIGA,13,2008-11-29,A,FC BARCELONA,SEVILLA FC,0:03,RW,90+2,0:03,LEFT-FOOTED SHOT,ALEKSANDR HLEB
LIONEL MESSI,08/09,LALIGA,15,2008-12-13,H,FC BARCELONA,REAL MADRID,2:00,RW,89,2:00,COUNTER ATTACK GOAL,THIERRY HENRY
CRISTIANO RONALDO,08/09,FIFA CLUB WORLD CUP,SEMI-FINALS,2008-12-18,A,MANCHESTER UNITED,GAMBA OSAKA,3:05,LW,45+1,0:02,HEADER,RYAN GIGGS
LIONEL MESSI,08/09,COPA DEL REY,ROUND OF 16,2009-01-06,A,FC BARCELONA,ATLETICO DE MADRID,1:03,RW,57,0:02,PENALTY,OTHER
LIONEL MESSI,08/09,COPA DEL REY,ROUND OF 16,2009-01-06,A,FC BARCELONA,ATLETICO DE MADRID,1:03,RW,79,1:03,RIGHT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,08/09,COPA DEL REY,ROUND OF 16,2009-01-06,A,FC BARCELONA,ATLETICO DE MADRID,1:03,RW,11,0:01,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,08/09,LALIGA,18,2009-01-11,A,FC BARCELONA,CA OSASUNA,2:03,RW,84,2:03,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,08/09,LALIGA,19,2009-01-17,H,FC BARCELONA,DEPORTIVO DE LA CORUAA,5:00,RW,21,1:00,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,08/09,EFL CUP,SEMI-FINALS,2009-01-20,H,MANCHESTER UNITED,DERBY COUNTY,4:02,OTHER,89,4:01,PENALTY,OTHER
LIONEL MESSI,08/09,LALIGA,20,2009-01-24,H,FC BARCELONA,CD NUMANCIA,4:01,RW,49,1:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,08/09,LALIGA,20,2009-01-24,H,FC BARCELONA,CD NUMANCIA,4:01,RW,76,4:01,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,23,2009-01-27,A,MANCHESTER UNITED,WEST BROMWICH ALBION,0:05,LW,65,0:04,RIGHT-FOOTED SHOT,RYAN GIGGS
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,23,2009-01-27,A,MANCHESTER UNITED,WEST BROMWICH ALBION,0:05,LW,73,0:05,RIGHT-FOOTED SHOT,DIMITAR BERBATOV
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,24,2009-01-31,H,MANCHESTER UNITED,EVERTON FC,1:00,LW,43,1:00,PENALTY,OTHER
LIONEL MESSI,08/09,LALIGA,21,2009-02-01,A,FC BARCELONA,RACING SANTANDER,1:02,RW,65,1:01,RIGHT-FOOTED SHOT,XAVI
LIONEL MESSI,08/09,LALIGA,21,2009-02-01,A,FC BARCELONA,RACING SANTANDER,1:02,RW,81,1:02,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,08/09,FA CUP,FIFTH ROUND,2009-02-15,A,MANCHESTER UNITED,DERBY COUNTY,1:04,CF,68,1:03,HEADER,RYAN GIGGS
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,26,2009-02-21,H,MANCHESTER UNITED,BLACKBURN ROVERS,2:01,OTHER,60,2:01,DIRECT FREE KICK,OTHER
LIONEL MESSI,08/09,LALIGA,25,2009-03-01,A,FC BARCELONA,ATLETICO DE MADRID,4:03,RW,30,0:02,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,08/09,COPA DEL REY,SEMI-FINALS,2009-03-04,A,FC BARCELONA,RCD MALLORCA,1:01,RW,81,1:01,LEFT-FOOTED SHOT,GERARD PIQUE
LIONEL MESSI,08/09,LALIGA,26,2009-03-07,H,FC BARCELONA,ATHLETIC BILBAO,2:00,RW,31,2:00,PENALTY,OTHER
CRISTIANO RONALDO,08/09,UEFA CHAMPIONS LEAGUE,LAST 16,2009-03-11,H,MANCHESTER UNITED,FC INTERNAZIONALE,2:00,RW,49,2:00,HEADER,WAYNE ROONEY
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,LAST 16,2009-03-11,H,FC BARCELONA,OLYMPIQUE LYON,5:02,RW,40,3:00,LEFT-FOOTED SHOT,SAMUEL ETOO
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,29,2009-03-14,H,MANCHESTER UNITED,LIVERPOOL FC,1:04,RW,22,1:00,PENALTY,OTHER
LIONEL MESSI,08/09,LALIGA,28,2009-03-22,H,FC BARCELONA,MALAGA CF,6:00,RW,26,2:00,RIGHT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,31,2009-04-05,H,MANCHESTER UNITED,ASTON VILLA,3:02,RW,11,1:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,31,2009-04-05,H,MANCHESTER UNITED,ASTON VILLA,3:02,RW,80,2:02,LEFT-FOOTED SHOT,MICHAEL CARRICK
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2009-04-08,H,FC BARCELONA,BAYERN MUNICH,4:00,RW,9,1:00,LEFT-FOOTED SHOT,SAMUEL ETOO
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2009-04-08,H,FC BARCELONA,BAYERN MUNICH,4:00,RW,38,3:00,RIGHT-FOOTED SHOT,THIERRY HENRY
CRISTIANO RONALDO,08/09,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2009-04-15,A,MANCHESTER UNITED,FC PORTO,0:01,RW,6,0:01,LONG DISTANCE KICK,ANDERSON
LIONEL MESSI,08/09,LALIGA,31,2009-04-18,A,FC BARCELONA,GETAFE CF,0:01,RW,18,0:01,LEFT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,34,2009-04-25,H,MANCHESTER UNITED,TOTTENHAM HOTSPUR,5:02,RW,68,3:02,HEADER,WAYNE ROONEY
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,34,2009-04-25,H,MANCHESTER UNITED,TOTTENHAM HOTSPUR,5:02,RW,57,1:02,PENALTY,OTHER
LIONEL MESSI,08/09,LALIGA,33,2009-04-25,A,FC BARCELONA,VALENCIA CF,2:02,RW,23,0:01,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,08/09,LALIGA,34,2009-05-02,A,FC BARCELONA,REAL MADRID,2:06,CF,35,1:03,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,08/09,LALIGA,34,2009-05-02,A,FC BARCELONA,REAL MADRID,2:06,CF,75,2:05,LEFT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,08/09,UEFA CHAMPIONS LEAGUE,SEMI-FINALS,2009-05-05,A,MANCHESTER UNITED,ARSENAL FC,1:03,CF,11,0:02,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,08/09,UEFA CHAMPIONS LEAGUE,SEMI-FINALS,2009-05-05,A,MANCHESTER UNITED,ARSENAL FC,1:03,CF,61,0:03,RIGHT-FOOTED SHOT,WAYNE ROONEY
CRISTIANO RONALDO,08/09,PREMIER LEAGUE,36,2009-05-10,H,MANCHESTER UNITED,MANCHESTER CITY,2:00,RW,17,1:00,DIRECT FREE KICK,OTHER
LIONEL MESSI,08/09,COPA DEL REY,FINAL,2009-05-13,H,FC BARCELONA,ATHLETIC BILBAO,4:01,RW,55,2:01,LEFT-FOOTED SHOT,SAMUEL ETOO
LIONEL MESSI,08/09,UEFA CHAMPIONS LEAGUE,FINAL,2009-05-27,H,FC BARCELONA,MANCHESTER UNITED,2:00,CF,70,2:00,HEADER,XAVI
LIONEL MESSI,09/10,SUPERCOPA,FINAL,2009-08-23,H,FC BARCELONA,ATHLETIC BILBAO,3:00,RW,68,2:00,PENALTY,OTHER
LIONEL MESSI,09/10,SUPERCOPA,FINAL,2009-08-23,H,FC BARCELONA,ATHLETIC BILBAO,3:00,RW,50,1:00,RIGHT-FOOTED SHOT,ZLATAN IBRAHIMOVIC
CRISTIANO RONALDO,09/10,LALIGA,1,2009-08-29,H,REAL MADRID,DEPORTIVO DE LA CORUÃ±A,3:02,RW,35,2:01,PENALTY,OTHER
LIONEL MESSI,09/10,LALIGA,2,2009-09-12,A,FC BARCELONA,GETAFE CF,0:02,RW,78,0:02,HEADER,ZLATAN IBRAHIMOVIC
CRISTIANO RONALDO,09/10,LALIGA,2,2009-09-12,A,REAL MADRID,RCD ESPANYOL BARCELONA,0:03,OTHER,90,0:03,RIGHT-FOOTED SHOT,GUTI
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-09-15,A,REAL MADRID,FC ZÃ¼RICH,2:05,CF,89,2:04,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-09-15,A,REAL MADRID,FC ZÃ¼RICH,2:05,CF,27,0:01,DIRECT FREE KICK,OTHER
LIONEL MESSI,09/10,LALIGA,3,2009-09-19,H,FC BARCELONA,ATLETICO DE MADRID,5:02,RW,15,2:00,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,09/10,LALIGA,3,2009-09-19,H,FC BARCELONA,ATLETICO DE MADRID,5:02,RW,90+3,5:02,RIGHT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,09/10,LALIGA,3,2009-09-20,H,REAL MADRID,XEREZ CD,5:00,RW,75,2:00,HEADER,ESTEBAN GRANERO
CRISTIANO RONALDO,09/10,LALIGA,3,2009-09-20,H,REAL MADRID,XEREZ CD,5:00,RW,1,1:00,RIGHT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,LALIGA,4,2009-09-22,A,FC BARCELONA,RACING SANTANDER,1:04,RW,63,0:04,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,09/10,LALIGA,4,2009-09-22,A,FC BARCELONA,RACING SANTANDER,1:04,RW,23,0:02,LEFT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,09/10,LALIGA,4,2009-09-23,A,REAL MADRID,VILLARREAL CF,0:02,CF,2,0:01,RIGHT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-09-29,H,FC BARCELONA,DYNAMO KYIV,2:00,RW,25,1:00,LEFT-FOOTED SHOT,ANDRES INIESTA
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-09-30,H,REAL MADRID,OLYMPIQUE MARSEILLE,3:00,CF,58,1:00,LEFT-FOOTED SHOT,PEPE
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-09-30,H,REAL MADRID,OLYMPIQUE MARSEILLE,3:00,CF,64,3:00,RIGHT-FOOTED SHOT,KARIM BENZEMA
LIONEL MESSI,09/10,LALIGA,8,2009-10-25,H,FC BARCELONA,REAL ZARAGOZA,6:01,RW,80,5:01,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,09/10,LALIGA,10,2009-11-07,H,FC BARCELONA,RCD MALLORCA,4:02,RW,86,4:01,PENALTY,OTHER
LIONEL MESSI,09/10,COPA DEL REY,5TH ROUND,2009-11-10,H,FC BARCELONA,CULTURAL LEONESA,5:00,RW,64,4:00,LEFT-FOOTED SHOT,PEDRO
LIONEL MESSI,09/10,LALIGA,13,2009-12-05,A,FC BARCELONA,DEPORTIVO DE LA CORUAA,1:03,RW,80,1:02,HEADER,PEDRO
LIONEL MESSI,09/10,LALIGA,13,2009-12-05,A,FC BARCELONA,DEPORTIVO DE LA CORUAA,1:03,RW,26,0:01,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,09/10,LALIGA,13,2009-12-05,H,REAL MADRID,UD ALMERIA,4:02,CF,84,4:02,RIGHT-FOOTED SHOT,GONZALO HIGUAIN
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-12-08,A,REAL MADRID,OLYMPIQUE MARSEILLE,1:03,CF,5,0:01,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-12-08,A,REAL MADRID,OLYMPIQUE MARSEILLE,1:03,CF,80,1:03,RIGHT-FOOTED SHOT,LASSANA DIARRA
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2009-12-09,A,FC BARCELONA,DYNAMO KYIV,1:02,RW,86,1:02,DIRECT FREE KICK,OTHER
LIONEL MESSI,09/10,FIFA CLUB WORLD CUP,SEMI-FINALS,2009-12-16,A,FC BARCELONA,CF ATLANTE,1:03,RW,55,1:02,LEFT-FOOTED SHOT,ZLATAN IBRAHIMOVIC
LIONEL MESSI,09/10,FIFA CLUB WORLD CUP,FINAL,2009-12-19,A,FC BARCELONA,CLUB ESTUDIANTES DE LA PLATA,1:2 AET,RW,110,1:02,CHEST,DANI ALVES
CRISTIANO RONALDO,09/10,LALIGA,15,2009-12-19,H,REAL MADRID,REAL ZARAGOZA,6:00,CF,50,5:00,LEFT-FOOTED SHOT,EZEQUIEL GARAY
LIONEL MESSI,09/10,LALIGA,17,2010-01-10,A,FC BARCELONA,CD TENERIFE,0:05,RW,75,0:04,LEFT-FOOTED SHOT,BOJAN KRKIC
LIONEL MESSI,09/10,LALIGA,17,2010-01-10,A,FC BARCELONA,CD TENERIFE,0:05,RW,45,0:03,RIGHT-FOOTED SHOT,BOJAN KRKIC
LIONEL MESSI,09/10,LALIGA,17,2010-01-10,A,FC BARCELONA,CD TENERIFE,0:05,RW,36,0:01,LEFT-FOOTED SHOT,BOJAN KRKIC
LIONEL MESSI,09/10,LALIGA,18,2010-01-16,H,FC BARCELONA,SEVILLA FC,4:00,RW,90+1,4:00,LEFT-FOOTED SHOT,Ã‰RIC ABIDAL
LIONEL MESSI,09/10,LALIGA,18,2010-01-16,H,FC BARCELONA,SEVILLA FC,4:00,RW,85,3:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,09/10,LALIGA,19,2010-01-23,A,FC BARCELONA,REAL VALLADOLID CF,0:03,RW,54,0:03,LEFT-FOOTED SHOT,ZLATAN IBRAHIMOVIC
CRISTIANO RONALDO,09/10,LALIGA,19,2010-01-24,H,REAL MADRID,MALAGA CF,2:00,RW,35,1:00,RIGHT-FOOTED SHOT,KAKA
CRISTIANO RONALDO,09/10,LALIGA,19,2010-01-24,H,REAL MADRID,MALAGA CF,2:00,RW,39,2:00,RIGHT-FOOTED SHOT,GUTI
LIONEL MESSI,09/10,LALIGA,21,2010-02-06,H,FC BARCELONA,GETAFE CF,2:01,RW,7,1:00,LEFT-FOOTED SHOT,YAYA TOURE
CRISTIANO RONALDO,09/10,LALIGA,22,2010-02-13,A,REAL MADRID,XEREZ CD,0:03,OTHER,71,0:03,LEFT-FOOTED SHOT,KAKA
CRISTIANO RONALDO,09/10,LALIGA,22,2010-02-13,A,REAL MADRID,XEREZ CD,0:03,OTHER,69,0:02,HEADER,KAKA
CRISTIANO RONALDO,09/10,LALIGA,23,2010-02-21,H,REAL MADRID,VILLARREAL CF,6:02,OTHER,18,1:00,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,09/10,LALIGA,24,2010-02-27,A,REAL MADRID,CD TENERIFE,1:05,OTHER,78,1:04,PENALTY,OTHER
LIONEL MESSI,09/10,LALIGA,24,2010-02-27,H,FC BARCELONA,MALAGA CF,2:01,RW,84,2:01,RIGHT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,09/10,LALIGA,25,2010-03-06,A,FC BARCELONA,UD ALMERA,2:02,RW,66,2:02,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,LALIGA,25,2010-03-06,A,FC BARCELONA,UD ALMERA,2:02,RW,42,1:01,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,09/10,LALIGA,25,2010-03-06,H,REAL MADRID,SEVILLA FC,3:02,CF,59,1:02,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,09/10,UEFA CHAMPIONS LEAGUE,LAST 16,2010-03-10,H,REAL MADRID,OLYMPIQUE LYON,1:01,LW,6,1:00,LEFT-FOOTED SHOT,GUTI
LIONEL MESSI,09/10,LALIGA,26,2010-03-14,H,FC BARCELONA,VALENCIA CF,3:00,CF,56,1:00,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,09/10,LALIGA,26,2010-03-14,H,FC BARCELONA,VALENCIA CF,3:00,CF,80,2:00,LEFT-FOOTED SHOT,THIERRY HENRY
LIONEL MESSI,09/10,LALIGA,26,2010-03-14,H,FC BARCELONA,VALENCIA CF,3:00,CF,82,3:00,RIGHT-FOOTED SHOT,THIERRY HENRY
CRISTIANO RONALDO,09/10,LALIGA,26,2010-03-14,A,REAL MADRID,REAL VALLADOLID CF,1:04,CF,29,0:01,DIRECT FREE KICK,OTHER
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,LAST 16,2010-03-17,H,FC BARCELONA,VFB STUTTGART,4:00,CF,13,1:00,LEFT-FOOTED SHOT,YAYA TOURE
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,LAST 16,2010-03-17,H,FC BARCELONA,VFB STUTTGART,4:00,CF,56,3:00,LEFT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,09/10,LALIGA,27,2010-03-21,A,FC BARCELONA,REAL ZARAGOZA,2:04,RW,4,0:01,HEADER,PEDRO
LIONEL MESSI,09/10,LALIGA,27,2010-03-21,A,FC BARCELONA,REAL ZARAGOZA,2:04,RW,65,0:02,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,LALIGA,27,2010-03-21,A,FC BARCELONA,REAL ZARAGOZA,2:04,RW,78,0:03,LEFT-FOOTED SHOT,ANDRES INIESTA
CRISTIANO RONALDO,09/10,LALIGA,28,2010-03-25,A,REAL MADRID,GETAFE CF,2:04,OTHER,13,0:01,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,09/10,LALIGA,28,2010-03-25,A,REAL MADRID,GETAFE CF,2:04,OTHER,36,0:04,RIGHT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,LALIGA,30,2010-04-03,H,FC BARCELONA,ATHLETIC BILBAO,4:01,CF,67,4:00,LEFT-FOOTED SHOT,PEDRO
CRISTIANO RONALDO,09/10,LALIGA,30,2010-04-04,A,REAL MADRID,RACING SANTANDER,0:02,OTHER,23,0:01,PENALTY,OTHER
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2010-04-06,H,FC BARCELONA,ARSENAL FC,4:01,CF,88,4:01,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2010-04-06,H,FC BARCELONA,ARSENAL FC,4:01,CF,21,1:01,LEFT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2010-04-06,H,FC BARCELONA,ARSENAL FC,4:01,CF,42,3:01,LEFT-FOOTED SHOT,SEYDOU KEITA
LIONEL MESSI,09/10,UEFA CHAMPIONS LEAGUE,QUARTER-FINALS,2010-04-06,H,FC BARCELONA,ARSENAL FC,4:01,CF,37,2:01,RIGHT-FOOTED SHOT,PEDRO
LIONEL MESSI,09/10,LALIGA,31,2010-04-10,A,FC BARCELONA,REAL MADRID,0:02,CF,32,0:01,RIGHT-FOOTED SHOT,XAVI
CRISTIANO RONALDO,09/10,LALIGA,32,2010-04-15,A,REAL MADRID,UD ALMERIA,1:02,OTHER,26,1:01,LEFT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,09/10,LALIGA,33,2010-04-18,H,REAL MADRID,VALENCIA CF,2:00,CF,77,2:00,RIGHT-FOOTED SHOT,MARCELO
LIONEL MESSI,09/10,LALIGA,35,2010-05-01,A,FC BARCELONA,VILLARREAL CF,1:04,RW,18,0:01,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,09/10,LALIGA,35,2010-05-01,A,FC BARCELONA,VILLARREAL CF,1:04,RW,87,1:04,LEFT-FOOTED SHOT,DANI ALVES
CRISTIANO RONALDO,09/10,LALIGA,35,2010-05-02,H,REAL MADRID,CA OSASUNA,3:02,OTHER,89,3:02,HEADER,GONZALO HIGUAIN
CRISTIANO RONALDO,09/10,LALIGA,35,2010-05-02,H,REAL MADRID,CA OSASUNA,3:02,OTHER,25,1:01,RIGHT-FOOTED SHOT,OTHER
LIONEL MESSI,09/10,LALIGA,36,2010-05-04,H,FC BARCELONA,CD TENERIFE,4:01,RW,90+3,4:01,RIGHT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,09/10,LALIGA,36,2010-05-04,H,FC BARCELONA,CD TENERIFE,4:01,RW,16,1:00,RIGHT-FOOTED SHOT,ZLATAN IBRAHIMOVIC
CRISTIANO RONALDO,09/10,LALIGA,36,2010-05-05,A,REAL MADRID,RCD MALLORCA,1:04,OTHER,71,1:03,RIGHT-FOOTED SHOT,OTHER
CRISTIANO RONALDO,09/10,LALIGA,36,2010-05-05,A,REAL MADRID,RCD MALLORCA,1:04,OTHER,26,1:01,RIGHT-FOOTED SHOT,SERGIO RAMOS
CRISTIANO RONALDO,09/10,LALIGA,36,2010-05-05,A,REAL MADRID,RCD MALLORCA,1:04,OTHER,56,1:02,RIGHT-FOOTED SHOT,SERGIO RAMOS
LIONEL MESSI,09/10,LALIGA,37,2010-05-08,A,FC BARCELONA,SEVILLA FC,2:03,RW,5,0:01,LEFT-FOOTED SHOT,MAXWELL
CRISTIANO RONALDO,09/10,LALIGA,37,2010-05-08,H,REAL MADRID,ATHLETIC BILBAO,5:01,CF,21,1:00,PENALTY,OTHER
LIONEL MESSI,09/10,LALIGA,38,2010-05-16,H,FC BARCELONA,REAL VALLADOLID CF,4:00,RW,74,4:00,LEFT-FOOTED SHOT,YAYA TOURE
LIONEL MESSI,09/10,LALIGA,38,2010-05-16,H,FC BARCELONA,REAL VALLADOLID CF,4:00,RW,61,3:00,RIGHT-FOOTED SHOT,YAYA TOURE
LIONEL MESSI,10/11,SUPERCOPA,FINAL,2010-08-21,H,FC BARCELONA,SEVILLA FC,4:00,RW,90+1,4:00,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,10/11,SUPERCOPA,FINAL,2010-08-21,H,FC BARCELONA,SEVILLA FC,4:00,RW,25,2:00,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,10/11,SUPERCOPA,FINAL,2010-08-21,H,FC BARCELONA,SEVILLA FC,4:00,RW,43,3:00,RIGHT-FOOTED SHOT,DANI ALVES
LIONEL MESSI,10/11,LALIGA,1,2010-08-29,A,FC BARCELONA,RACING SANTANDER,0:03,RW,3,0:01,LEFT-FOOTED SHOT,ANDRES INIESTA
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-09-14,H,FC BARCELONA,PANATHINAIKOS ATHENS,5:01,CF,45,3:01,LEFT-FOOTED SHOT,PEDRO
LIONEL MESSI,10/11,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2010-09-14,H,FC BARCELONA,PANATHINAIKOS ATHENS,5:01,CF,22,1:01,LEFT-FOOTED SHOT,XAVI
LIONEL MESSI,10/11,LALIGA,3,2010-09-19,A,FC BARCELONA,ATLETICO DE MADRID,1:02,CF,12,0:01,LEFT-FOOTED SHOT,PEDRO
CRISTIANO RONALDO,10/11,LALIGA,4,2010-09-21,H,REAL MADRID,RCD ESPANYOL BARCELONA,3:00,LW,28,1:00,PENALTY,OTHER
CRISTIANO RONALDO,10/11,LALIGA,6,2010-10-03,H,REAL MADRID,DEPORTIVO DE LA CORUÃ±A,6:01,LW,4,1:00,HEADER,MESUT OZIL
